name,Player,kmax,chi2,p-val
Roger Federer,Roger Federer,14.0,402.81203682693496,0.0
Novak Djokovic,Novak Djokovic,13.0,399.6649179227821,0.0
Andy Murray,Andy Murray,15.0,392.31927240220693,0.0
Rafael Nadal,Rafael Nadal,15.0,265.8900693848917,0.0
Juan Martin Del Potro,Juan Martin Del Potro,9.0,33.8251596582971,4.369930180103676e-05
Stan Wawrinka,Stan Wawrinka,12.0,202.68509979314692,0.0
Grigor Dimitrov,Grigor Dimitrov,14.0,147.24005569926197,0.0
Kei Nishikori,Kei Nishikori,10.0,189.4749513398716,0.0
Milos Raonic,Milos Raonic,14.0,272.4649956363988,0.0
David Goffin,David Goffin,14.0,84.34099783272416,1.6708856520608606e-12
Alexander Zverev,Alexander Zverev,9.0,103.51606487932703,0.0
Marin Cilic,Marin Cilic,12.0,174.41576934613278,0.0
Tomas Berdych,Tomas Berdych,15.0,232.71013662852195,0.0
Jo Wilfried Tsonga,Jo Wilfried Tsonga,11.0,114.46490369834295,0.0
Nick Kyrgios,Nick Kyrgios,12.0,175.0353974872873,0.0
Roberto Bautista Agut,Roberto Bautista Agut,13.0,102.10318004632138,2.220446049250313e-16
Gael Monfils,Gael Monfils,14.0,113.42385245809682,0.0
Dominic Thiem,Dominic Thiem,14.0,128.08776180224336,0.0
Jack Sock,Jack Sock,13.0,101.37390792097747,3.3306690738754696e-16
Richard Gasquet,Richard Gasquet,12.0,103.60528772630701,0.0
John Isner,John Isner,14.0,191.71696484538413,0.0
Kevin Anderson,Kevin Anderson,12.0,154.2354231371347,0.0
Gilles Muller,Gilles Muller,11.0,112.79626786359192,0.0
Philipp Kohlschreiber,Philipp Kohlschreiber,11.0,50.28296611489773,2.3675532800915278e-07
Lucas Pouille,Lucas Pouille,13.0,104.45723331835019,1.1102230246251565e-16
Fabio Fognini,Fabio Fognini,11.0,54.52123904357872,3.879610666057687e-08
Sam Querrey,Sam Querrey,12.0,140.60835821358688,0.0
David Ferrer,David Ferrer,12.0,99.85097093398292,2.220446049250313e-16
Diego Sebastian Schwartzman,Diego Sebastian Schwartzman,,,
Adrian Mannarino,Adrian Mannarino,15.0,40.47782860613257,0.00021482006523665387
Feliciano Lopez,Feliciano Lopez,15.0,131.27174722434614,0.0
Damir Dzumhur,Damir Dzumhur,15.0,27.163157305936803,0.018334332817079524
Pablo Carreno Busta,Pablo Carreno Busta,14.0,54.86211708434015,4.272442828412437e-07
Alexandr Dolgopolov,Alexandr Dolgopolov,13.0,63.37926507696567,5.426818883158546e-09
Fernando Verdasco,Fernando Verdasco,10.0,54.153749440823375,1.7649393613261566e-08
Steve Johnson,Steve Johnson,12.0,92.46094600227893,5.440092820663267e-15
Albert Ramos,Albert Ramos,6.0,14.258669035109808,0.014047173449397765
Hyeon Chung,Hyeon Chung,12.0,21.54989215965067,0.028101561030135724
Marcos Baghdatis,Marcos Baghdatis,14.0,56.25001266634348,2.435282453472354e-07
Kyle Edmund,Kyle Edmund,14.0,41.13237327400782,9.068645135479336e-05
Leonardo Mayer,Leonardo Mayer,9.0,21.9176922314047,0.005070645795594908
Julien Benneteau,Julien Benneteau,9.0,53.29224619124952,9.467373329741235e-09
Mischa Zverev,Mischa Zverev,8.0,16.681796613646974,0.019567345395394065
Nicolas Almagro,Nicolas Almagro,12.0,61.04901977449577,5.9163344223733816e-09
Viktor Troicki,Viktor Troicki,12.0,27.44290998943253,0.003937259520438552
Borna Coric,Borna Coric,7.0,43.728830197331526,8.366143577909213e-08
Andrey Rublev,Andrey Rublev,11.0,43.12578515570719,4.721988835054702e-06
Radek Stepanek,Radek Stepanek,10.0,37.15055117422306,2.473895882504351e-05
Juan Monaco,Juan Monaco,10.0,32.14333445855932,0.00018808071242715219
Pablo Cuevas,Pablo Cuevas,10.0,30.422783300237832,0.0003716436936823664
Gilles Simon,Gilles Simon,12.0,75.81536652563886,9.45277189856597e-12
Robin Haase,Robin Haase,11.0,34.67354440083764,0.00014193335715295685
Donald Young,Donald Young,11.0,62.15390133607833,1.4146412929960661e-09
