name,Player,kmax,chi2,p-val
Roger Federer,Roger Federer,14,399.58883614188477,0.0
Novak Djokovic,Novak Djokovic,13,396.83711883317534,0.0
Andy Murray,Andy Murray,15,392.1016675814254,0.0
Rafael Nadal,Rafael Nadal,15,265.39680318447336,0.0
Juan Martin Del Potro,Juan Martin Del Potro,9,33.347868367920846,5.330374666701054e-05
Stan Wawrinka,Stan Wawrinka,12,202.61068288071047,0.0
Grigor Dimitrov,Grigor Dimitrov,14,146.1919364237796,0.0
Kei Nishikori,Kei Nishikori,10,188.37208551385962,0.0
Milos Raonic,Milos Raonic,14,275.1986763989196,0.0
David Goffin,David Goffin,14,85.27222835612775,1.1124434706744069e-12
